iter	Passed	Remaining
0	0	60
1	1	65
2	2	66
3	2	60
4	3	63
5	4	65
6	4	64
7	5	64
8	6	68
9	7	69
10	8	71
11	9	70
12	10	67
13	10	65
14	11	63
15	11	61
16	12	59
17	12	57
18	13	56
19	13	54
20	14	53
21	14	52
22	15	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	44
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	31	25
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	34	21
62	35	20
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
